drug_a,drug_b,s2,s3,cls_a,cls_b,pair_class
"Fluorouracil (5-Fluoracil, 5-FU)",Gemcitabine,0.8001815362031388,0.6373437335050574,Antimetabolite,Antimetabolite,Antimetabolite × Antimetabolite
"Fluorouracil (5-Fluoracil, 5-FU)",Trifluridine,0.6296608572599031,0.5444421333877846,Antimetabolite,Antimetabolite,Antimetabolite × Antimetabolite
Gemcitabine,Trifluridine,0.6948544920120249,0.8072189920730655,Antimetabolite,Antimetabolite,Antimetabolite × Antimetabolite
AMG232 (Navtemadlin),"Fluorouracil (5-Fluoracil, 5-FU)",0.47192716825357994,0.7662132216262181,MDM2 inhibitor,Antimetabolite,Antimetabolite × MDM2i / Topo I
AMG232 (Navtemadlin),Gemcitabine,0.5463453790579388,0.7465092839841321,MDM2 inhibitor,Antimetabolite,Antimetabolite × MDM2i / Topo I
AMG232 (Navtemadlin),Trifluridine,0.4146067226033577,0.7512701160524943,MDM2 inhibitor,Antimetabolite,Antimetabolite × MDM2i / Topo I
"Fluorouracil (5-Fluoracil, 5-FU)",Nutlin-3,0.5733457364732334,0.6687067823069359,Antimetabolite,MDM2 inhibitor,Antimetabolite × MDM2i / Topo I
"Fluorouracil (5-Fluoracil, 5-FU)",SN-38,0.46934024914087047,0.7649489898772269,Antimetabolite,Topo I inhibitor,Antimetabolite × MDM2i / Topo I
Gemcitabine,Nutlin-3,0.5954901299059515,0.768934134599535,Antimetabolite,MDM2 inhibitor,Antimetabolite × MDM2i / Topo I
Gemcitabine,SN-38,0.5351504902336507,0.8191383732777504,Antimetabolite,Topo I inhibitor,Antimetabolite × MDM2i / Topo I
Nutlin-3,Trifluridine,0.46526165273245956,0.8759892449313673,MDM2 inhibitor,Antimetabolite,Antimetabolite × MDM2i / Topo I
SN-38,Trifluridine,0.2791888141408894,0.701126957857121,Topo I inhibitor,Antimetabolite,Antimetabolite × MDM2i / Topo I
"Fluorouracil (5-Fluoracil, 5-FU)","Olaparib (AZD2281, Ku-0059436)",0.7389671228201696,0.2985221295595948,Antimetabolite,PARP inhibitor,Antimetabolite × PARPi
"Fluorouracil (5-Fluoracil, 5-FU)",Veliparib (ABT-888),0.5142661014727408,0.29417361047362317,Antimetabolite,PARP inhibitor,Antimetabolite × PARPi
Gemcitabine,"Olaparib (AZD2281, Ku-0059436)",0.7672547858857978,0.518320994227156,Antimetabolite,PARP inhibitor,Antimetabolite × PARPi
Gemcitabine,Veliparib (ABT-888),0.5925999598661235,0.5655793872503141,Antimetabolite,PARP inhibitor,Antimetabolite × PARPi
"Olaparib (AZD2281, Ku-0059436)",Trifluridine,0.9031192688354939,0.7629610324625619,PARP inhibitor,Antimetabolite,Antimetabolite × PARPi
Trifluridine,Veliparib (ABT-888),0.7846012766064531,0.5501566811881543,Antimetabolite,PARP inhibitor,Antimetabolite × PARPi
5Z-7-OXOZEAENOL,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",0.054597149585042706,0.5889644556730643,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
5Z-7-OXOZEAENOL,"Cobimetinib (GDC-0973, RG7420)",0.54087882956254,0.7039877478966438,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
5Z-7-OXOZEAENOL,Dabrafenib (GSK2118436),0.0051178206321671,0.5809463283755423,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
5Z-7-OXOZEAENOL,Doramapimod (BIRB 796),0.14111120752113898,0.04963223573992826,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
5Z-7-OXOZEAENOL,Encorafenib (LGX818),0.11073184964125433,0.6427027129633807,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
5Z-7-OXOZEAENOL,PD0325901,0.3030138341704566,0.7865887289326051,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
5Z-7-OXOZEAENOL,Sorafenib,0.41371505950119897,0.6307233828670977,MAPK inhibitor,MAPK inhibitor,MAPK × MAPK
